authors_name,published_time,articles_title,publication_hubs
bodyawm,14 часов назад,Такие разные дисплеи: какие виды матриц распространены в DIY-электронике?,DIY или Сделай сам; Программирование микроконтроллеров; ; Компьютерное железо
gavrilovegor519,14 часов назад,Фидошник 2005 года рождения: почему я стал в 19 лет сисопом в «мёртвой» сети,Fidonet;
Helldar,14 часов назад,RoadRunner vs OpenSwoole vs FrankenPHP с Laravel Octane,Laravel; ; PHP;
BPMSoft,14 часов назад,Excel vs CRM-система: преимущества и недостатки решений,Блог компании BPMSoft; CRM-системы;
George_Prikashchenkov,14 часов назад,Стримы в Java: Как перестать бояться и полюбить filter-map-reduce,Java;
SergioPrieto,14 часов назад,Stay Hungry. Stay Foolish. 20 лет легендарной речи Стива Джобса перед выпускниками Стэнфордского университета,Биографии гиков; Интервью; История IT; Научно-популярное; Читальный зал
dmitrifriend,14 часов назад,Ошибка 404: интеллект не найден? Обзор ИИ-агента OpenAI Operator (часть 2),Блог компании BotHub; Искусственный интеллект; Машинное обучение; ; IT-компании; Будущее здесь
its_capitan,14 часов назад,Запустили простой редактор PDF в США: отмечаем 30000 пользователей и старт монетизации,Веб-разработка; ; Монетизация веб-сервисов; ; Развитие стартапа; Управление продуктом; ; Бизнес-модели;
Puzzle,15 часов назад,Инсайты о высокочастотной торговле на примере IPO компании Virtu,Финансы в IT; История IT; Читальный зал
YuriyBakutin,15 часов назад,Использование браузерного хранилища для управления состоянием приложения,NoSQL; ; Serverless; ; TypeScript; ; VueJS; ; Программирование;
koderman,15 часов назад,Низкие задержки для задач автоведения и сервисов критических служб в доступных беспроводных решениях,Блог компании ПК Аквариус; IT-инфраструктура; ; Тестирование IT-систем;
kucev,15 часов назад,"Люди больше не нужны? Профессии, которые уже заменил ИИ",Искусственный интеллект; Машинное обучение;
ruslandevlabs,16 часов назад,Grok 3 бета — эпоха «думающих» агентов,Машинное обучение; ; Искусственный интеллект
andreysolovev,16 часов назад,Платы и байты #2: Станислав Павловский (CSO Атомик софт) про российский рынок промышленной автоматизации,Инженерные системы; ; IT-инфраструктура; ; Производство и разработка электроники;
SPbUnited,16 часов назад,Выступление на соревнованиях Robótica 2024 в Бразилии,Робототехника
Exosphere,16 часов назад,Мобильной разработке в 2025 — быть,Блог компании Хабр; Разработка мобильных приложений; ; Монетизация мобильных приложений; ; Контент и копирайтинг;
Apokalepsis,17 часов назад,Как я создавал Observability для своих pet-проектов. Часть 1,DevOps; ; Веб-разработка; ; Laravel; ; PHP;
darovska_online,17 часов назад,"Что такое карты процесса-опыта, зачем они нужны разработчикам и как их применять",Управление разработкой; ; Управление продуктом; ; Управление проектами; ; Программирование; ; Бизнес-модели;
butivskiydm,17 часов назад,Что на сегодня ясно про устройство пространства,Научно-популярное
itmo,17 часов назад,Как мы применили генеративный дизайн к динамическим системам,Блог компании ИТМО; Робототехника; Разработка робототехники; ; Искусственный интеллект
AntonDimitriev,17 часов назад,ИТ-образование от СССР до будущей России,Блог компании ИТ-кампус НЕЙМАРК; История IT
BlitzCringe,17 часов назад,Дорогие ИТ специалисты или дорогие ИТ процессы?,Управление персоналом; ; Читальный зал
DRoman0v,17 часов назад,Испанская барахолка: от винтажных игр до умных помощников. Что мне попалось на этот раз,Блог компании Selectel; DIY или Сделай сам; Гаджеты; Старое железо
dropout_duo,17 часов назад,Как выбрать embedding модель без датасета и исторических данных,Python; ; Машинное обучение;
badcasedaily1,17 часов назад,Adaptive Query Rewriting в PostgreSQL,Блог компании OTUS; PostgreSQL;
Hanamime,17 часов назад,Информационные технологии и цифровая антропология,Блог компании Сбер; Исследования и прогнозы в IT; ; Социальные сети и сообщества; Анализ и проектирование систем;
Holmogorov,17 часов назад,Canon NoteJet BN22 — удивительный ноутбук со встроенным принтером,Блог компании RUVDS.com; Ноутбуки; Старое железо; Читальный зал
